chrom	start	end	sample	cell	class
chr15	86000000	88600000	pseudopool	NA12878_cell20	CC
chr15	88600000	101991189	pseudopool	NA12878_cell20	WC
chr16	0	24400000	pseudopool	HG00731_II_030	WC
chr16	0	28400000	pseudopool	HG00514_IV_023	WW
chr16	0	31800000	pseudopool	NA12878_cell6	WW
chr16	0	32600000	pseudopool	HG01352x02PE20424	WW
chr16	0	34600000	pseudopool	NA19240_V_082	CC
chr16	0	46600000	pseudopool	NA19240_IV_033	CW
chr16	0	64600000	pseudopool	NA19239_V_029	CW
chr16	0	90338345	pseudopool	HG00268x01PE20401	CW
chr16	0	90338345	pseudopool	HG00268x01PE20402	CC
chr16	0	90338345	pseudopool	HG00268x01PE20404	WC
chr16	0	90338345	pseudopool	HG00268x01PE20438	CW
chr16	0	90338345	pseudopool	HG00268x01PE20455	CC
chr16	0	90338345	pseudopool	HG00512_I_015	CC
chr16	0	90338345	pseudopool	HG00512_I_017	WW
chr16	0	90338345	pseudopool	HG00512_I_075	WC
chr16	0	90338345	pseudopool	HG00512_I_081	WW
chr16	0	90338345	pseudopool	HG00512_I_087	WC
chr16	0	90338345	pseudopool	HG00512_I_092	CW
chr16	0	90338345	pseudopool	HG00514_IV_008	CW
chr16	0	90338345	pseudopool	HG00514_IV_015	WW
chr16	0	90338345	pseudopool	HG00514_IV_073	CW
chr16	0	90338345	pseudopool	HG00514_IV_089	CW
chr16	0	90338345	pseudopool	HG00514_IV_095	CC
chr16	0	90338345	pseudopool	HG00514_VI_020	CC
chr16	0	90338345	pseudopool	HG00731_II_019	CC
chr16	0	90338345	pseudopool	HG00731_II_086	WC
chr16	0	90338345	pseudopool	HG01352x02PE20402	WW
chr16	0	90338345	pseudopool	HG01352x02PE20410	WW
chr16	0	90338345	pseudopool	HG01352x02PE20442	CW
chr16	0	90338345	pseudopool	HG02059102PE20308	WC
chr16	0	90338345	pseudopool	HG02059102PE20326	WC
chr16	0	90338345	pseudopool	HG02059102PE20337	CW
chr16	0	90338345	pseudopool	HG02059102PE20348	WW
chr16	0	90338345	pseudopool	HG02059102PE20361	CC
chr16	0	90338345	pseudopool	HG02818x02PE20308	CW
chr16	0	90338345	pseudopool	HG02818x02PE20312	WC
chr16	0	90338345	pseudopool	HG02818x02PE20332	WC
chr16	0	90338345	pseudopool	NA12878_cell113	WC
chr16	0	90338345	pseudopool	NA12878_cell20	CW
chr16	0	90338345	pseudopool	NA12878_cell26	CW
chr16	0	90338345	pseudopool	NA12878_cell43	CC
chr16	0	90338345	pseudopool	NA12878_cell90	CC
chr16	0	90338345	pseudopool	NA19239_III_066	CC
chr16	0	90338345	pseudopool	NA19239_VI_090	WW
chr16	0	90338345	pseudopool	NA19239_V_055	WW
chr16	0	90338345	pseudopool	NA19240_IV_018	CW
chr16	0	90338345	pseudopool	NA19240_I_081	CW
chr16	0	90338345	pseudopool	NA19240_VI_076	WW
chr16	24400000	90338345	pseudopool	HG00731_II_030	CC
chr16	28400000	90338345	pseudopool	HG00514_IV_023	CW
chr16	31800000	32600000	pseudopool	NA12878_cell6	WC
chr16	32600000	55000000	pseudopool	HG01352x02PE20424	WC
chr16	32600000	80800000	pseudopool	NA12878_cell6	WW
chr16	34600000	36200000	pseudopool	NA19240_V_082	WW
chr16	36200000	90338345	pseudopool	NA19240_V_082	WC
chr16	46600000	90338345	pseudopool	NA19240_IV_033	CC
chr16	55000000	90338345	pseudopool	HG01352x02PE20424	WW
chr16	64600000	90338345	pseudopool	NA19239_V_029	CC
chr16	80800000	81000000	pseudopool	NA12878_cell6	WC
chr16	81000000	90338345	pseudopool	NA12878_cell6	WW
chr17	0	11600000	pseudopool	HG02059102PE20348	WW
chr17	0	22000000	pseudopool	NA19240_VI_076	CC
chr17	0	27000000	pseudopool	HG02818x02PE20308	WW
chr17	0	31400000	pseudopool	HG00512_I_087	WC
chr17	0	34400000	pseudopool	HG00514_IV_015	CW
chr17	0	78000000	pseudopool	HG02059102PE20337	CW
chr17	0	83257441	pseudopool	HG00268x01PE20401	CC
chr17	0	83257441	pseudopool	HG00268x01PE20402	WW
chr17	0	83257441	pseudopool	HG00268x01PE20404	CW
chr17	0	83257441	pseudopool	HG00268x01PE20438	WC
chr17	0	83257441	pseudopool	HG00268x01PE20455	WW
chr17	0	83257441	pseudopool	HG00512_I_015	CW
chr17	0	83257441	pseudopool	HG00512_I_017	CC
chr17	0	83257441	pseudopool	HG00512_I_075	WC
chr17	0	83257441	pseudopool	HG00512_I_081	WC
chr17	0	83257441	pseudopool	HG00512_I_092	CC
chr17	0	83257441	pseudopool	HG00514_IV_008	CC
chr17	0	83257441	pseudopool	HG00514_IV_023	CW
chr17	0	83257441	pseudopool	HG00514_IV_073	WW
chr17	0	83257441	pseudopool	HG00514_IV_089	WC
chr17	0	83257441	pseudopool	HG00514_IV_095	CW
chr17	0	83257441	pseudopool	HG00514_VI_020	WW
chr17	0	83257441	pseudopool	HG00731_II_019	CC
chr17	0	83257441	pseudopool	HG00731_II_030	CW
chr17	0	83257441	pseudopool	HG00731_II_086	CW
chr17	0	83257441	pseudopool	HG01352x02PE20402	CW
chr17	0	83257441	pseudopool	HG01352x02PE20410	CW
chr17	0	83257441	pseudopool	HG01352x02PE20424	CW
chr17	0	83257441	pseudopool	HG01352x02PE20442	CC
chr17	0	83257441	pseudopool	HG02059102PE20308	CW
chr17	0	83257441	pseudopool	HG02059102PE20326	CW
chr17	0	83257441	pseudopool	HG02059102PE20361	CW
chr17	0	83257441	pseudopool	HG02818x02PE20312	WW
chr17	0	83257441	pseudopool	HG02818x02PE20332	WC
chr17	0	83257441	pseudopool	NA12878_cell113	CC
chr17	0	83257441	pseudopool	NA12878_cell20	CC
chr17	0	83257441	pseudopool	NA12878_cell26	WW
chr17	0	83257441	pseudopool	NA12878_cell43	WW
chr17	0	83257441	pseudopool	NA12878_cell6	WW
chr17	0	83257441	pseudopool	NA12878_cell90	WW
chr17	0	83257441	pseudopool	NA19239_III_066	WC
chr17	0	83257441	pseudopool	NA19239_VI_090	CC
chr17	0	83257441	pseudopool	NA19239_V_029	CW
chr17	0	83257441	pseudopool	NA19239_V_055	WW
chr17	0	83257441	pseudopool	NA19240_IV_018	WW
chr17	0	83257441	pseudopool	NA19240_IV_033	CW
chr17	0	83257441	pseudopool	NA19240_I_081	CC
chr17	0	83257441	pseudopool	NA19240_V_082	CW
chr17	11600000	83257441	pseudopool	HG02059102PE20348	CW
chr17	22000000	83257441	pseudopool	NA19240_VI_076	WC
chr17	27000000	83257441	pseudopool	HG02818x02PE20308	CW
chr17	31400000	83257441	pseudopool	HG00512_I_087	WW
chr17	34400000	38600000	pseudopool	HG00514_IV_015	WW
chr17	38600000	83257441	pseudopool	HG00514_IV_015	WC
chr17	78000000	83257441	pseudopool	HG02059102PE20337	CC
chr18	0	15000000	pseudopool	HG01352x02PE20424	CW
chr18	0	34600000	pseudopool	HG00268x01PE20404	CC
chr18	0	44600000	pseudopool	NA19239_VI_090	WW
chr18	0	51000000	pseudopool	HG02818x02PE20308	CW
chr18	0	51400000	pseudopool	HG02059102PE20326	WC
chr18	0	52000000	pseudopool	NA19239_III_066	WC
chr18	0	67000000	pseudopool	HG02059102PE20308	CW
chr18	0	71400000	pseudopool	HG00514_IV_023	WW
chr18	0	75000000	pseudopool	HG02059102PE20361	WW
chr18	0	77600000	pseudopool	HG00731_II_019	WC
chr18	0	80373285	pseudopool	HG00268x01PE20401	CC
chr18	0	80373285	pseudopool	HG00268x01PE20402	WC
chr18	0	80373285	pseudopool	HG00268x01PE20438	CW
chr18	0	80373285	pseudopool	HG00268x01PE20455	CC
chr18	0	80373285	pseudopool	HG00512_I_015	WC
chr18	0	80373285	pseudopool	HG00512_I_017	CC
chr18	0	80373285	pseudopool	HG00512_I_075	WW
chr18	0	80373285	pseudopool	HG00512_I_081	CC
chr18	0	80373285	pseudopool	HG00512_I_087	WW
chr18	0	80373285	pseudopool	HG00512_I_092	CC
chr18	0	80373285	pseudopool	HG00514_IV_008	WW
chr18	0	80373285	pseudopool	HG00514_IV_015	CW
chr18	0	80373285	pseudopool	HG00514_IV_073	WC
chr18	0	80373285	pseudopool	HG00514_IV_089	CW
chr18	0	80373285	pseudopool	HG00514_IV_095	CW
chr18	0	80373285	pseudopool	HG00514_VI_020	CW
chr18	0	80373285	pseudopool	HG00731_II_030	CW
chr18	0	80373285	pseudopool	HG00731_II_086	CW
chr18	0	80373285	pseudopool	HG01352x02PE20402	WW
chr18	0	80373285	pseudopool	HG01352x02PE20410	WC
chr18	0	80373285	pseudopool	HG01352x02PE20442	WC
chr18	0	80373285	pseudopool	HG02059102PE20337	WW
chr18	0	80373285	pseudopool	HG02059102PE20348	WW
chr18	0	80373285	pseudopool	HG02818x02PE20312	CC
chr18	0	80373285	pseudopool	HG02818x02PE20332	CC
chr18	0	80373285	pseudopool	NA12878_cell113	CW
chr18	0	80373285	pseudopool	NA12878_cell20	CC
chr18	0	80373285	pseudopool	NA12878_cell26	CW
chr18	0	80373285	pseudopool	NA12878_cell43	CW
chr18	0	80373285	pseudopool	NA12878_cell6	CW
chr18	0	80373285	pseudopool	NA12878_cell90	WW
chr18	0	80373285	pseudopool	NA19239_V_029	CC
chr18	0	80373285	pseudopool	NA19239_V_055	CW
chr18	0	80373285	pseudopool	NA19240_IV_018	WC
chr18	0	80373285	pseudopool	NA19240_IV_033	CC
chr18	0	80373285	pseudopool	NA19240_I_081	CW
chr18	0	80373285	pseudopool	NA19240_VI_076	WC
chr18	0	80373285	pseudopool	NA19240_V_082	WW
chr18	15000000	80373285	pseudopool	HG01352x02PE20424	WW
chr18	34600000	80373285	pseudopool	HG00268x01PE20404	CW
chr18	44600000	49800000	pseudopool	NA19239_VI_090	CW
chr18	49800000	80373285	pseudopool	NA19239_VI_090	CC
chr18	51000000	80373285	pseudopool	HG02818x02PE20308	WW
chr18	51400000	80373285	pseudopool	HG02059102PE20326	CC
chr18	52000000	80373285	pseudopool	NA19239_III_066	CC
chr18	67000000	80373285	pseudopool	HG02059102PE20308	CC
chr18	71400000	80373285	pseudopool	HG00514_IV_023	WC
chr18	75000000	80373285	pseudopool	HG02059102PE20361	CW
chr18	77600000	80373285	pseudopool	HG00731_II_019	CC
chr19	0	2800000	pseudopool	NA12878_cell6	CW
chr19	0	47400000	pseudopool	HG02059102PE20361	CC
chr19	0	48000000	pseudopool	HG02059102PE20308	CC
chr19	0	48000000	pseudopool	HG02059102PE20348	CC
chr19	0	50200000	pseudopool	HG02059102PE20326	WC
chr19	0	50200000	pseudopool	HG02059102PE20337	CW
chr19	0	54200000	pseudopool	NA19240_V_082	CW
chr19	0	58617616	pseudopool	HG00268x01PE20401	WW
chr19	0	58617616	pseudopool	HG00268x01PE20402	WC
chr19	0	58617616	pseudopool	HG00268x01PE20404	CW
chr19	0	58617616	pseudopool	HG00268x01PE20438	WC
chr19	0	58617616	pseudopool	HG00268x01PE20455	WW
chr19	0	58617616	pseudopool	HG00512_I_015	WW
chr19	0	58617616	pseudopool	HG00512_I_017	WC
chr19	0	58617616	pseudopool	HG00512_I_075	WC
chr19	0	58617616	pseudopool	HG00512_I_081	WC
chr19	0	58617616	pseudopool	HG00512_I_087	CC
chr19	0	58617616	pseudopool	HG00512_I_092	CW
chr19	0	58617616	pseudopool	HG00514_IV_008	CW
chr19	0	58617616	pseudopool	HG00514_IV_015	CW
chr19	0	58617616	pseudopool	HG00514_IV_023	CW
chr19	0	58617616	pseudopool	HG00514_IV_073	CW
chr19	0	58617616	pseudopool	HG00514_IV_089	WC
chr19	0	58617616	pseudopool	HG00514_IV_095	WC
chr19	0	58617616	pseudopool	HG00514_VI_020	WW
chr19	0	58617616	pseudopool	HG00731_II_019	CC
chr19	0	58617616	pseudopool	HG00731_II_030	CW
chr19	0	58617616	pseudopool	HG00731_II_086	WC
chr19	0	58617616	pseudopool	HG01352x02PE20402	CC
chr19	0	58617616	pseudopool	HG01352x02PE20410	CC
chr19	0	58617616	pseudopool	HG01352x02PE20424	WW
chr19	0	58617616	pseudopool	HG01352x02PE20442	CC
chr19	0	58617616	pseudopool	HG02818x02PE20308	CW
chr19	0	58617616	pseudopool	HG02818x02PE20312	CC
chr19	0	58617616	pseudopool	HG02818x02PE20332	WC
chr19	0	58617616	pseudopool	NA12878_cell113	CC
chr19	0	58617616	pseudopool	NA12878_cell20	CC
chr19	0	58617616	pseudopool	NA12878_cell26	WC
chr19	0	58617616	pseudopool	NA12878_cell43	WW
chr19	0	58617616	pseudopool	NA12878_cell90	CC
chr19	0	58617616	pseudopool	NA19239_III_066	WW
chr19	0	58617616	pseudopool	NA19239_VI_090	WC
chr19	0	58617616	pseudopool	NA19239_V_029	WC
chr19	0	58617616	pseudopool	NA19239_V_055	WW
chr19	0	58617616	pseudopool	NA19240_IV_018	CC
chr19	0	58617616	pseudopool	NA19240_IV_033	CW
chr19	0	58617616	pseudopool	NA19240_I_081	WC
chr19	0	58617616	pseudopool	NA19240_VI_076	CW
chr19	2800000	3000000	pseudopool	NA12878_cell6	CC
chr19	3000000	12200000	pseudopool	NA12878_cell6	CW
chr19	12200000	48600000	pseudopool	NA12878_cell6	CC
chr19	47400000	58617616	pseudopool	HG02059102PE20361	WW
chr19	48000000	50200000	pseudopool	HG02059102PE20308	CW
chr19	48000000	50200000	pseudopool	HG02059102PE20348	CW
chr19	48600000	48800000	pseudopool	NA12878_cell6	WC
chr19	48800000	53800000	pseudopool	NA12878_cell6	CC
chr19	50200000	58617616	pseudopool	HG02059102PE20308	CC
chr19	50200000	58617616	pseudopool	HG02059102PE20326	CC
chr19	50200000	58617616	pseudopool	HG02059102PE20337	WW
chr19	50200000	58617616	pseudopool	HG02059102PE20348	CC
chr19	53800000	54000000	pseudopool	NA12878_cell6	WC
chr19	54000000	58617616	pseudopool	NA12878_cell6	CC
chr19	54200000	58617616	pseudopool	NA19240_V_082	WW
chr2	0	3600000	pseudopool	NA12878_cell43	CC
chr2	0	10800000	pseudopool	HG00512_I_075	CW
chr2	0	10800000	pseudopool	HG00514_IV_089	CC
chr2	0	13000000	pseudopool	HG02818x02PE20308	WC
chr2	0	25200000	pseudopool	HG00514_IV_095	CW
chr2	0	33200000	pseudopool	HG00731_II_086	WW
chr2	0	40400000	pseudopool	HG02059102PE20326	WW
chr2	0	67400000	pseudopool	NA19239_V_055	WW
chr2	0	77000000	pseudopool	NA19239_V_029	CC
chr2	0	88000000	pseudopool	NA12878_cell6	WW
chr2	0	91800000	pseudopool	NA19240_VI_076	CC
chr2	0	91800000	pseudopool	NA19240_V_082	WW
chr2	0	98000000	pseudopool	HG02059102PE20308	CC
chr2	0	115600000	pseudopool	HG00514_IV_008	CW
chr2	0	124000000	pseudopool	HG02059102PE20337	CC
chr2	0	126400000	pseudopool	NA19239_III_066	CW
chr2	0	129400000	pseudopool	NA12878_cell20	CC
chr2	0	150600000	pseudopool	HG00268x01PE20401	WC
chr2	0	162800000	pseudopool	HG00514_IV_073	CW
chr2	0	180400000	pseudopool	HG01352x02PE20410	CW
chr2	0	186400000	pseudopool	HG00268x01PE20404	WW
chr2	0	199600000	pseudopool	HG01352x02PE20402	CC
chr2	0	209200000	pseudopool	HG02818x02PE20332	WC
chr2	0	242193529	pseudopool	HG00268x01PE20402	CW
chr2	0	242193529	pseudopool	HG00268x01PE20438	CC
chr2	0	242193529	pseudopool	HG00268x01PE20455	CW
chr2	0	242193529	pseudopool	HG00512_I_015	CC
chr2	0	242193529	pseudopool	HG00512_I_017	CW
chr2	0	242193529	pseudopool	HG00512_I_081	WC
chr2	0	242193529	pseudopool	HG00512_I_087	WW
chr2	0	242193529	pseudopool	HG00512_I_092	WC
chr2	0	242193529	pseudopool	HG00514_IV_015	CW
chr2	0	242193529	pseudopool	HG00514_IV_023	CC
chr2	0	242193529	pseudopool	HG00514_VI_020	WC
chr2	0	242193529	pseudopool	HG00731_II_019	WW
chr2	0	242193529	pseudopool	HG00731_II_030	WC
chr2	0	242193529	pseudopool	HG01352x02PE20424	WC
chr2	0	242193529	pseudopool	HG01352x02PE20442	WC
chr2	0	242193529	pseudopool	HG02059102PE20348	WW
chr2	0	242193529	pseudopool	HG02059102PE20361	CC
chr2	0	242193529	pseudopool	HG02818x02PE20312	CW
chr2	0	242193529	pseudopool	NA12878_cell113	CC
chr2	0	242193529	pseudopool	NA12878_cell26	CC
chr2	0	242193529	pseudopool	NA12878_cell90	CC
chr2	0	242193529	pseudopool	NA19239_VI_090	CW
chr2	0	242193529	pseudopool	NA19240_IV_018	WW
chr2	0	242193529	pseudopool	NA19240_IV_033	CW
chr2	0	242193529	pseudopool	NA19240_I_081	CW
chr2	3600000	86600000	pseudopool	NA12878_cell43	CW
chr2	10800000	242193529	pseudopool	HG00512_I_075	CC
chr2	10800000	242193529	pseudopool	HG00514_IV_089	CW
chr2	13000000	242193529	pseudopool	HG02818x02PE20308	CC
chr2	25200000	116800000	pseudopool	HG00514_IV_095	CC
chr2	33200000	49800000	pseudopool	HG00731_II_086	WC
chr2	40400000	242193529	pseudopool	HG02059102PE20326	WC
chr2	49800000	242193529	pseudopool	HG00731_II_086	CC
chr2	67400000	242193529	pseudopool	NA19239_V_055	CW
chr2	77000000	242193529	pseudopool	NA19239_V_029	CW
chr2	86600000	242193529	pseudopool	NA12878_cell43	WW
chr2	88000000	88200000	pseudopool	NA12878_cell6	WC
chr2	88200000	101400000	pseudopool	NA12878_cell6	WW
chr2	91800000	94400000	pseudopool	NA19240_V_082	WC
chr2	91800000	94600000	pseudopool	NA19240_VI_076	WC
chr2	94400000	242193529	pseudopool	NA19240_V_082	WW
chr2	94600000	242193529	pseudopool	NA19240_VI_076	CC
chr2	98000000	215000000	pseudopool	HG02059102PE20308	CW
chr2	101400000	101600000	pseudopool	NA12878_cell6	WC
chr2	101600000	242193529	pseudopool	NA12878_cell6	WW
chr2	115600000	214600000	pseudopool	HG00514_IV_008	WW
chr2	116800000	153400000	pseudopool	HG00514_IV_095	CW
chr2	124000000	185200000	pseudopool	HG02059102PE20337	WC
chr2	126400000	242193529	pseudopool	NA19239_III_066	CC
chr2	129400000	131400000	pseudopool	NA12878_cell20	CW
chr2	131400000	242193529	pseudopool	NA12878_cell20	CC
chr2	150600000	242193529	pseudopool	HG00268x01PE20401	WW
chr2	153400000	155400000	pseudopool	HG00514_IV_095	CC
chr2	155400000	242193529	pseudopool	HG00514_IV_095	CW
chr2	162800000	242193529	pseudopool	HG00514_IV_073	WW
chr2	180400000	242193529	pseudopool	HG01352x02PE20410	CC
chr2	185200000	242193529	pseudopool	HG02059102PE20337	WW
chr2	186400000	242193529	pseudopool	HG00268x01PE20404	WC
chr2	199600000	242193529	pseudopool	HG01352x02PE20402	CW
chr2	209200000	242193529	pseudopool	HG02818x02PE20332	WW
chr2	214600000	242193529	pseudopool	HG00514_IV_008	WC
chr2	215000000	242193529	pseudopool	HG02059102PE20308	CC
chr20	0	8600000	pseudopool	NA12878_cell90	WW
chr20	0	14600000	pseudopool	NA19239_VI_090	CC
chr20	0	18200000	pseudopool	NA19240_I_081	WW
chr20	0	64444167	pseudopool	HG00268x01PE20401	CW
chr20	0	64444167	pseudopool	HG00268x01PE20402	WC
chr20	0	64444167	pseudopool	HG00268x01PE20404	CW
chr20	0	64444167	pseudopool	HG00268x01PE20438	CW
chr20	0	64444167	pseudopool	HG00268x01PE20455	WC
chr20	0	64444167	pseudopool	HG00512_I_015	WW
chr20	0	64444167	pseudopool	HG00512_I_017	WW
chr20	0	64444167	pseudopool	HG00512_I_075	CC
chr20	0	64444167	pseudopool	HG00512_I_081	CC
chr20	0	64444167	pseudopool	HG00512_I_087	WW
chr20	0	64444167	pseudopool	HG00512_I_092	CW
chr20	0	64444167	pseudopool	HG00514_IV_008	CC
chr20	0	64444167	pseudopool	HG00514_IV_015	CC
chr20	0	64444167	pseudopool	HG00514_IV_023	CW
chr20	0	64444167	pseudopool	HG00514_IV_073	CW
chr20	0	64444167	pseudopool	HG00514_IV_089	CC
chr20	0	64444167	pseudopool	HG00514_IV_095	CC
chr20	0	64444167	pseudopool	HG00514_VI_020	WC
chr20	0	64444167	pseudopool	HG00731_II_019	CW
chr20	0	64444167	pseudopool	HG00731_II_030	CW
chr20	0	64444167	pseudopool	HG00731_II_086	WW
chr20	0	64444167	pseudopool	HG01352x02PE20402	WC
chr20	0	64444167	pseudopool	HG01352x02PE20410	CC
chr20	0	64444167	pseudopool	HG01352x02PE20424	WW
chr20	0	64444167	pseudopool	HG01352x02PE20442	WW
chr20	0	64444167	pseudopool	HG02059102PE20308	CC
chr20	0	64444167	pseudopool	HG02059102PE20326	WC
chr20	0	64444167	pseudopool	HG02059102PE20337	CW
chr20	0	64444167	pseudopool	HG02059102PE20348	CC
chr20	0	64444167	pseudopool	HG02059102PE20361	CC
chr20	0	64444167	pseudopool	HG02818x02PE20308	WC
chr20	0	64444167	pseudopool	HG02818x02PE20312	CW
chr20	0	64444167	pseudopool	HG02818x02PE20332	CW
chr20	0	64444167	pseudopool	NA12878_cell113	CC
chr20	0	64444167	pseudopool	NA12878_cell20	CC
chr20	0	64444167	pseudopool	NA12878_cell26	WW
chr20	0	64444167	pseudopool	NA12878_cell43	CW
chr20	0	64444167	pseudopool	NA12878_cell6	WC
chr20	0	64444167	pseudopool	NA19239_III_066	CC
chr20	0	64444167	pseudopool	NA19239_V_029	WW
chr20	0	64444167	pseudopool	NA19239_V_055	WC
chr20	0	64444167	pseudopool	NA19240_IV_018	WC
chr20	0	64444167	pseudopool	NA19240_IV_033	CC
chr20	0	64444167	pseudopool	NA19240_VI_076	CW
chr20	0	64444167	pseudopool	NA19240_V_082	WW
chr20	8600000	64444167	pseudopool	NA12878_cell90	WC
chr20	14600000	64444167	pseudopool	NA19239_VI_090	CW
chr20	18200000	64444167	pseudopool	NA19240_I_081	WC
chr21	0	15800000	pseudopool	NA19239_III_066	WC
chr21	0	46709983	pseudopool	HG00268x01PE20401	CC
chr21	0	46709983	pseudopool	HG00268x01PE20402	WC
chr21	0	46709983	pseudopool	HG00268x01PE20404	WW
chr21	0	46709983	pseudopool	HG00268x01PE20438	CC
chr21	0	46709983	pseudopool	HG00268x01PE20455	WW
chr21	0	46709983	pseudopool	HG00512_I_015	WC
chr21	0	46709983	pseudopool	HG00512_I_017	WC
chr21	0	46709983	pseudopool	HG00512_I_075	WW
chr21	0	46709983	pseudopool	HG00512_I_081	CW
chr21	0	46709983	pseudopool	HG00512_I_087	CW
chr21	0	46709983	pseudopool	HG00512_I_092	WC
chr21	0	46709983	pseudopool	HG00514_IV_008	CW
chr21	0	46709983	pseudopool	HG00514_IV_015	CW
chr21	0	46709983	pseudopool	HG00514_IV_023	CC
chr21	0	46709983	pseudopool	HG00514_IV_073	CC
chr21	0	46709983	pseudopool	HG00514_IV_089	CC
chr21	0	46709983	pseudopool	HG00514_IV_095	WW
chr21	0	46709983	pseudopool	HG00514_VI_020	CC
chr21	0	46709983	pseudopool	HG00731_II_019	WC
chr21	0	46709983	pseudopool	HG00731_II_030	CW
chr21	0	46709983	pseudopool	HG00731_II_086	WW
chr21	0	46709983	pseudopool	HG01352x02PE20402	CW
chr21	0	46709983	pseudopool	HG01352x02PE20410	WW
chr21	0	46709983	pseudopool	HG01352x02PE20424	WC
chr21	0	46709983	pseudopool	HG01352x02PE20442	CW
chr21	0	46709983	pseudopool	HG02059102PE20308	WW
chr21	0	46709983	pseudopool	HG02059102PE20326	WC
chr21	0	46709983	pseudopool	HG02059102PE20337	WC
chr21	0	46709983	pseudopool	HG02059102PE20348	CW
chr21	0	46709983	pseudopool	HG02059102PE20361	WW
chr21	0	46709983	pseudopool	HG02818x02PE20308	CC
chr21	0	46709983	pseudopool	HG02818x02PE20312	WW
chr21	0	46709983	pseudopool	HG02818x02PE20332	WW
chr21	0	46709983	pseudopool	NA12878_cell113	WC
chr21	0	46709983	pseudopool	NA12878_cell20	WC
chr21	0	46709983	pseudopool	NA12878_cell26	CW
chr21	0	46709983	pseudopool	NA12878_cell43	WC
chr21	0	46709983	pseudopool	NA12878_cell6	CW
chr21	0	46709983	pseudopool	NA12878_cell90	CC
chr21	0	46709983	pseudopool	NA19239_VI_090	CC
chr21	0	46709983	pseudopool	NA19239_V_029	WW
chr21	0	46709983	pseudopool	NA19239_V_055	CW
chr21	0	46709983	pseudopool	NA19240_IV_018	WW
chr21	0	46709983	pseudopool	NA19240_IV_033	CC
chr21	0	46709983	pseudopool	NA19240_I_081	CW
chr21	0	46709983	pseudopool	NA19240_VI_076	CC
chr21	0	46709983	pseudopool	NA19240_V_082	CW
chr21	15800000	46709983	pseudopool	NA19239_III_066	CC
chr22	0	12200000	pseudopool	HG00268x01PE20455	WC
chr22	0	12400000	pseudopool	NA12878_cell43	CW
chr22	0	12600000	pseudopool	HG00268x01PE20438	WC
chr22	0	12600000	pseudopool	HG00512_I_017	WC
chr22	0	12600000	pseudopool	HG00512_I_075	WC
chr22	0	12600000	pseudopool	HG01352x02PE20442	CW
chr22	0	12600000	pseudopool	HG02059102PE20348	CW
chr22	0	12600000	pseudopool	HG02059102PE20361	WC
chr22	0	12600000	pseudopool	HG02818x02PE20332	CW
chr22	0	12600000	pseudopool	NA19239_III_066	WC
chr22	0	12600000	pseudopool	NA19240_V_082	CW
chr22	0	22000000	pseudopool	HG00514_IV_095	CW
chr22	0	47200000	pseudopool	NA12878_cell20	CW
chr22	0	50818468	pseudopool	HG00268x01PE20401	WW
chr22	0	50818468	pseudopool	HG00268x01PE20402	WC
chr22	0	50818468	pseudopool	HG00268x01PE20404	CW
chr22	0	50818468	pseudopool	HG00512_I_015	CW
chr22	0	50818468	pseudopool	HG00512_I_081	WC
chr22	0	50818468	pseudopool	HG00512_I_087	CW
chr22	0	50818468	pseudopool	HG00512_I_092	CW
chr22	0	50818468	pseudopool	HG00514_IV_008	WW
chr22	0	50818468	pseudopool	HG00514_IV_015	WC
chr22	0	50818468	pseudopool	HG00514_IV_023	CC
chr22	0	50818468	pseudopool	HG00514_IV_073	CC
chr22	0	50818468	pseudopool	HG00514_IV_089	WC
chr22	0	50818468	pseudopool	HG00514_VI_020	CW
chr22	0	50818468	pseudopool	HG00731_II_019	CW
chr22	0	50818468	pseudopool	HG00731_II_030	CW
chr22	0	50818468	pseudopool	HG00731_II_086	CW
chr22	0	50818468	pseudopool	HG01352x02PE20402	CW
chr22	0	50818468	pseudopool	HG01352x02PE20410	WW
chr22	0	50818468	pseudopool	HG01352x02PE20424	WC
chr22	0	50818468	pseudopool	HG02059102PE20308	WC
chr22	0	50818468	pseudopool	HG02059102PE20326	WC
chr22	0	50818468	pseudopool	HG02059102PE20337	CW
chr22	0	50818468	pseudopool	HG02818x02PE20308	CW
chr22	0	50818468	pseudopool	HG02818x02PE20312	WW
chr22	0	50818468	pseudopool	NA12878_cell113	CW
chr22	0	50818468	pseudopool	NA12878_cell26	CW
chr22	0	50818468	pseudopool	NA12878_cell6	CC
chr22	0	50818468	pseudopool	NA12878_cell90	WW
chr22	0	50818468	pseudopool	NA19239_VI_090	CW
chr22	0	50818468	pseudopool	NA19239_V_029	WW
chr22	0	50818468	pseudopool	NA19239_V_055	CC
chr22	0	50818468	pseudopool	NA19240_IV_018	WC
chr22	0	50818468	pseudopool	NA19240_IV_033	CC
chr22	0	50818468	pseudopool	NA19240_I_081	CC
chr22	0	50818468	pseudopool	NA19240_VI_076	WC
chr22	12200000	50818468	pseudopool	HG00268x01PE20455	WW
chr22	12400000	50818468	pseudopool	NA12878_cell43	WW
chr22	12600000	50818468	pseudopool	HG00268x01PE20438	CC
chr22	12600000	50818468	pseudopool	HG00512_I_017	CC
chr22	12600000	50818468	pseudopool	HG00512_I_075	CC
chr22	12600000	50818468	pseudopool	HG01352x02PE20442	CC
